จังหวัด,เขตเลือกตั้งที่,ลำดับคะแนน,พรรคการเมือง,คะแนนเสียง,คะแนนเสียง(ร้อยละ),ผู้มาใช้สิทธิ์,ร้อยละผู้มาใช้สิทธิ์,บัตรดี,บัตรเสีย,บัตรไม่เลือกผู้ใด,หน่วยเลือกตั้งที่นับเสร็จ,ร้อยละที่นับเสร็จแล้ว,หยุดอัพเดต,,,Last Update:
กรุงเทพมหานคร,12,6,เศรษฐกิจ,1821,1.88264,100578,70.26155,96726,1412,2440,181,94.7644,FALSE,,,
กรุงเทพมหานคร,12,7,ไทยภักดี,1465,1.51459,100578,70.26155,96726,1412,2440,181,94.7644,FALSE,,,
กรุงเทพมหานคร,12,8,ไทยสร้างไทย,1048,1.08347,100578,70.26155,96726,1412,2440,181,94.7644,FALSE,,,
กรุงเทพมหานคร,12,9,ไทยก้าวใหม่,842,0.8705,100578,70.26155,96726,1412,2440,181,94.7644,FALSE,,,
กรุงเทพมหานคร,12,10,เสรีรวมไทย,778,0.80433,100578,70.26155,96726,1412,2440,181,94.7644,FALSE,,,
กรุงเทพมหานคร,13,1,ประชาชน,40040,48.22992,86328,65.54549,83019,1260,2049,183,94.81865,FALSE,,,
กรุงเทพมหานคร,13,2,ภูมิใจไทย,16144,19.44615,86328,65.54549,83019,1260,2049,183,94.81865,FALSE,,,
กรุงเทพมหานคร,13,3,ประชาธิปัตย์,8896,10.71562,86328,65.54549,83019,1260,2049,183,94.81865,FALSE,,,
กรุงเทพมหานคร,13,4,เพื่อไทย,7867,9.47614,86328,65.54549,83019,1260,2049,183,94.81865,FALSE,,,
กรุงเทพมหานคร,13,5,รวมไทยสร้างชาติ,2109,2.54038,86328,65.54549,83019,1260,2049,183,94.81865,FALSE,,,
กรุงเทพมหานคร,13,6,ไทยภักดี,1568,1.88872,86328,65.54549,83019,1260,2049,183,94.81865,FALSE,,,
กรุงเทพมหานคร,13,7,เศรษฐกิจ,1432,1.72491,86328,65.54549,83019,1260,2049,183,94.81865,FALSE,,,
กรุงเทพมหานคร,13,8,ไทยสร้างไทย,984,1.18527,86328,65.54549,83019,1260,2049,183,94.81865,FALSE,,,
กรุงเทพมหานคร,13,9,ไทยก้าวใหม่,704,0.848,86328,65.54549,83019,1260,2049,183,94.81865,FALSE,,,
กรุงเทพมหานคร,13,10,เพื่อชาติไทย,394,0.47459,86328,65.54549,83019,1260,2049,183,94.81865,FALSE,,,
กรุงเทพมหานคร,14,1,ประชาชน,39743,46.36266,89210,63.5666,85722,1436,2052,187,94.92386,FALSE,,,
กรุงเทพมหานคร,14,2,ภูมิใจไทย,17491,20.40433,89210,63.5666,85722,1436,2052,187,94.92386,FALSE,,,
กรุงเทพมหานคร,14,3,ประชาธิปัตย์,9621,11.22349,89210,63.5666,85722,1436,2052,187,94.92386,FALSE,,,
กรุงเทพมหานคร,14,4,เพื่อไทย,8223,9.59264,89210,63.5666,85722,1436,2052,187,94.92386,FALSE,,,
กรุงเทพมหานคร,14,5,รวมไทยสร้างชาติ,2161,2.52094,89210,63.5666,85722,1436,2052,187,94.92386,FALSE,,,
กรุงเทพมหานคร,14,6,ไทยภักดี,1617,1.88633,89210,63.5666,85722,1436,2052,187,94.92386,FALSE,,,
กรุงเทพมหานคร,14,7,เศรษฐกิจ,1518,1.77084,89210,63.5666,85722,1436,2052,187,94.92386,FALSE,,,
กรุงเทพมหานคร,14,8,ไทยสร้างไทย,999,1.1654,89210,63.5666,85722,1436,2052,187,94.92386,FALSE,,,
กรุงเทพมหานคร,14,9,ไทยก้าวใหม่,653,0.76176,89210,63.5666,85722,1436,2052,187,94.92386,FALSE,,,
กรุงเทพมหานคร,14,10,เพื่อชาติไทย,547,0.63811,89210,63.5666,85722,1436,2052,187,94.92386,FALSE,,,
กรุงเทพมหานคร,15,1,ประชาชน,38643,45.73515,88267,69.08922,84493,1533,2241,175,94.59459,FALSE,,,
กรุงเทพมหานคร,15,2,ภูมิใจไทย,15597,18.45952,88267,69.08922,84493,1533,2241,175,94.59459,FALSE,,,
กรุงเทพมหานคร,15,3,เพื่อไทย,10474,12.39629,88267,69.08922,84493,1533,2241,175,94.59459,FALSE,,,
กรุงเทพมหานคร,15,4,ประชาธิปัตย์,8383,9.92153,88267,69.08922,84493,1533,2241,175,94.59459,FALSE,,,
กรุงเทพมหานคร,15,5,รวมไทยสร้างชาติ,2440,2.88781,88267,69.08922,84493,1533,2241,175,94.59459,FALSE,,,
กรุงเทพมหานคร,15,6,เศรษฐกิจ,1676,1.9836,88267,69.08922,84493,1533,2241,175,94.59459,FALSE,,,
กรุงเทพมหานคร,15,7,ไทยภักดี,1377,1.62972,88267,69.08922,84493,1533,2241,175,94.59459,FALSE,,,
กรุงเทพมหานคร,15,8,ไทยสร้างไทย,1216,1.43917,88267,69.08922,84493,1533,2241,175,94.59459,FALSE,,,
กรุงเทพมหานคร,15,9,ไทยก้าวใหม่,668,0.7906,88267,69.08922,84493,1533,2241,175,94.59459,FALSE,,,
กรุงเทพมหานคร,15,10,เป็นธรรม,545,0.64502,88267,69.08922,84493,1533,2241,175,94.59459,FALSE,,,
กรุงเทพมหานคร,16,1,ประชาชน,44383,50.60718,91349,66.06997,87701,1342,2306,170,94.97207,FALSE,,,
กรุงเทพมหานคร,16,2,ภูมิใจไทย,15146,17.27004,91349,66.06997,87701,1342,2306,170,94.97207,FALSE,,,
กรุงเทพมหานคร,16,3,เพื่อไทย,9158,10.4423,91349,66.06997,87701,1342,2306,170,94.97207,FALSE,,,
กรุงเทพมหานคร,16,4,ประชาธิปัตย์,8393,9.57002,91349,66.06997,87701,1342,2306,170,94.97207,FALSE,,,
กรุงเทพมหานคร,16,5,เศรษฐกิจ,2033,2.3181,91349,66.06997,87701,1342,2306,170,94.97207,FALSE,,,
กรุงเทพมหานคร,16,6,รวมไทยสร้างชาติ,1974,2.25083,91349,66.06997,87701,1342,2306,170,94.97207,FALSE,,,
กรุงเทพมหานคร,16,7,ไทยภักดี,1071,1.22119,91349,66.06997,87701,1342,2306,170,94.97207,FALSE,,,
กรุงเทพมหานคร,16,8,ไทยสร้างไทย,815,0.92929,91349,66.06997,87701,1342,2306,170,94.97207,FALSE,,,
กรุงเทพมหานคร,16,9,ไทยก้าวใหม่,647,0.73773,91349,66.06997,87701,1342,2306,170,94.97207,FALSE,,,
กรุงเทพมหานคร,16,10,ทางเลือกใหม่,635,0.72405,91349,66.06997,87701,1342,2306,170,94.97207,FALSE,,,
กรุงเทพมหานคร,17,1,ประชาชน,29705,42.29734,75330,62.40887,70229,2098,3003,168,94.91525,FALSE,,,
